Name,Industry,Sector,Headquarters,Founded,Notes,Status
Access Bank,Financials,Banks,Lagos,1989,Commercial bank,P
Aero Contractors,Consumer services,Airlines,Ikeja,1959,State charter airline,S
Arik Air,Consumer services,Airlines,Ikeja,2002,Airline,P
BUA Cement,Industrials,Building materials & fixtures,Lagos,2008,"Cement, part of BUA Group",P
BUA Foods,Consumer goods,Food,Lagos,1988,"Food industry, part of BUA Group",P
Cassava Republic Press,Consumer services,Publishing,Abuja,2006,Publisher,P
Central Bank of Nigeria,Financials,Banks,Abuja,1958,State-owned bank,S
Chanchangi Airlines,Consumer services,Airlines,Kaduna,1994,Airline,P
C&I Leasing Group PLC,Industrials,Marine transportation,Lekki,1990,Leasing,P
Chocolate City Records,Consumer services,Broadcasting & entertainment,Lagos,2005,Music label founded by Audu Maikori,P
Dana Air,Consumer services,Airlines,Ikeja,2008,Regional airline,P
Dangote Cement,Industrials,Building materials & fixtures,Lagos,1992,"Cement, part of Dangote Group",P
Dangote Group,Conglomerates,–,Lagos,1981,"Cement, food and beverage, oil and gas",P
Diamond Bank,Financials,Banks,Lagos,1990,Bank,P
Ensure,Financials,Full line insurance,Lagos,1993,Insurance,P
First City Monument Bank,Financials,Banks,Lagos,1982,Bank,P
Fidelity Bank Nigeria,Financials,Banks,Lagos,1988,Bank,P
First Bank of Nigeria,Financials,Banks,Lagos,1894,Bank,P
Guaranty Trust Bank,Financials,Banks,Lagos,1990,Bank,P
Industrial and General Insurance Company,Financials,Full line insurance,Lagos,1991,Insurance,P
Jiji.ng,Technology,Internet,Lagos,2014,Online marketplace,P
John Holt plc,Industrials,Diversified industrials,Lagos,1897,"Industrials, power, logistics",P
Julius Berger,Industrials,Heavy construction,Abuja,1950,Construction and development,P
Jumia,Technology,Internet,Ikeja,2012,E-commerce platform,P
Kabo Air,Consumer services,Airlines,Kano,1980,Airline,P
Kakawa Discount House Limited,Financials,Investment services,Lagos,1995,Discount house,P
Keystone Bank Limited,Financials,Banks,Lagos,2011,Bank,P
Leadway,Financials,Full line insurance,Lagos,1970,Insurance,P
Mavin Records,Consumer services,Broadcasting & entertainment,Lagos,2012,Music label founded by Don Jazzy,P
Mikano International Limited,Industrials,Diversified industrials,Lagos,1993,"Electrical power generation, real estate and construction",P
Nigerian National Petroleum Corporation (NNPC),Oil & gas,Exploration & production,Abuja,1977,State-owned oil,S
Nigerian Postal Service,Industrials,Delivery services,Abuja,1987,Postal services,S
Nigerian Railway Corporation,Industrials,Railroads,Lagos,1898,National railways,S
Nigerian Television Authority,Consumer services,Broadcasting & entertainment,Abuja,1977,State-owned television,S
Nnamani Music Group,Consumer services,Distribution & publishing,Lagos,2023,Music company founded by Johnel Nnamani and Nnamani Grace Odi,P
Oando,Oil & gas,Exploration & production,Lagos,1956,Petrochemical and energy,P
ROCAD Construction Limited,Industrials,Heavy construction,Abuja,2002,Construction,P
Shell Nigeria,Oil & gas,Exploration & production,Abuja,1937,Part of Royal Dutch Shell (Netherlands),P
Skye Bank,Financials,Banks,Lagos,2006,Has now been changed to Polaris Bank,P
Spring Bank,Financials,Banks,Lagos,2004,"Bank, defunct 2011",P
Sterling Bank,Financials,Banks,Lagos,1960,Bank,P
The Tide,Consumer services,Publishing,Port Harcourt,1971,State-owned newspaper,S
Transmission Company of Nigeria,Utilities,Electricity transmission,Abuja,2005,Power,S
Transnational Corporation of Nigeria,Conglomerates,–,Lagos,2004,"Food and beverage, power, hotels",P
Union Bank of Nigeria,Financials,Banks,Lagos,1917,Bank,P
United Africa Company of Nigeria,Conglomerates,–,Lagos,1931,"Logistics, real estate, industrials",P
United Bank for Africa,Financials,Banks,Lagos,1949,Bank,P
Wema Bank,Financials,Banks,Lagos,1945,Bank,P
Wemy industries,Consumer,Personal goods,Lagos,1978,Personal hygiene products,P
Zenith Bank,Financials,Banks,Lagos,1990,Commercial bank,P
Dotts Media House,Media,PR & Digital Marketing,Lagos,2014,"Influencer Marketing, Content Marketing, Brand Activations",P
